"ZCH1_SOLL";"ZCH2_SOLL";"ZCH3_SOLL";"GESAMT_SOLL";"ZCH1_IST";"ZCH2_IST";"ZCH3_IST";"GESAMT_IST";"ZFW";"ZFW_NEW";"MIN_REL"
13;1;1;15;0;0;0;0;15;0;0
12;2;1;15;0;0;0;0;15;0;0
11;3;1;15;0;0;0;0;15;0;0
11;2;2;15;0;0;0;0;15;0;0
10;4;1;15;0;0;0;0;15;0;0
10;3;2;15;0;0;0;0;15;0;0
9;5;1;15;0;0;0;0;15;0;0
9;4;2;15;0;0;0;0;15;0;0
9;3;3;15;0;0;0;0;15;0;0
8;6;1;15;0;0;0;0;15;0;0
8;5;2;15;0;0;0;0;15;0;0
8;4;3;15;0;0;0;0;15;0;0
7;7;1;15;0;0;0;0;15;0;0
7;6;2;15;0;0;0;0;15;0;0
7;5;3;15;0;0;0;0;15;0;0
7;4;4;15;0;0;0;0;15;0;0
6;6;3;15;0;0;0;0;15;0;0
6;5;4;15;0;0;0;0;15;0;0
5;5;5;15;0;0;0;0;15;0;0
12;1;1;14;0;0;0;0;14;0;0
11;2;1;14;0;0;0;0;14;0;0
10;3;1;14;0;0;0;0;14;0;0
10;2;2;14;0;0;0;0;14;0;0
9;4;1;14;0;0;0;0;14;0;0
9;3;2;14;0;0;0;0;14;0;0
8;5;1;14;0;0;0;0;14;0;0
8;4;2;14;0;0;0;0;14;0;0
8;3;3;14;0;0;0;0;14;0;0
7;6;1;14;0;0;0;0;14;0;0
7;5;2;14;0;0;0;0;14;0;0
7;4;3;14;0;0;0;0;14;0;0
6;6;2;14;0;0;0;0;14;0;0
6;5;3;14;0;0;0;0;14;0;0
6;4;4;14;0;0;0;0;14;0;0
5;5;4;14;0;0;0;0;14;0;0
11;1;1;13;0;0;0;0;13;0;0
10;2;1;13;0;0;0;0;13;0;0
9;3;1;13;0;0;0;0;13;0;0
9;2;2;13;0;0;0;0;13;0;0
8;4;1;13;0;0;0;0;13;0;0
8;3;2;13;0;0;0;0;13;0;0
7;5;1;13;0;0;0;0;13;0;0
