"ZCH1_SOLL";"ZCH2_SOLL";"ZCH3_SOLL";"GESAMT_SOLL";"ZCH1_IST";"ZCH2_IST";"ZCH3_IST";"GESAMT_IST";"ZFW"
13;1;1;15;0;0;0;0;15
12;2;1;15;0;0;0;0;15
11;2;2;15;0;0;0;0;15
10;3;2;15;0;0;0;0;15
9;3;3;15;0;0;0;0;15
8;4;3;15;0;0;0;0;15
7;4;4;15;0;0;0;0;15
6;5;4;15;0;0;0;0;15
5;5;5;15;0;0;0;0;15
12;1;1;14;0;0;0;0;14
11;2;1;14;0;0;0;0;14
10;2;2;14;0;0;0;0;14
9;3;2;14;0;0;0;0;14
8;3;3;14;0;0;0;0;14
7;4;3;14;0;0;0;0;14
6;4;4;14;0;0;0;0;14
5;5;4;14;0;0;0;0;14
11;1;1;13;0;0;0;0;13
10;2;1;13;0;0;0;0;13
9;2;2;13;0;0;0;0;13
8;3;2;13;0;0;0;0;13
7;3;3;13;0;0;0;0;13
6;4;3;13;0;0;0;0;13
5;4;4;13;0;0;0;0;13
10;1;1;12;0;0;0;0;12
9;2;1;12;0;0;0;0;12
8;2;2;12;0;0;0;0;12
7;3;2;12;0;0;0;0;12
6;3;3;12;0;0;0;0;12
5;4;3;12;0;0;0;0;12
4;4;4;12;0;0;0;0;12
13;1;1;15;0;0;1;1;14
12;2;1;15;0;0;1;1;14
11;2;2;15;0;0;1;1;13,5
10;3;2;15;0;0;1;1;13,5
9;3;3;15;0;0;1;1;13,3333333333333
8;4;3;15;0;0;1;1;13,3333333333333
7;4;4;15;0;0;1;1;13,25
6;5;4;15;0;0;1;1;13,25
5;5;5;15;0;0;1;1;13,2
12;1;1;14;0;0;1;1;13
11;2;1;14;0;0;1;1;13
10;2;2;14;0;0;1;1;12,5
9;3;2;14;0;0;1;1;12,5
8;3;3;14;0;0;1;1;12,3333333333333
7;4;3;14;0;0;1;1;12,3333333333333
6;4;4;14;0;0;1;1;12,25
5;5;4;14;0;0;1;1;12,25
11;1;1;13;0;0;1;1;12
10;2;1;13;0;0;1;1;12
9;2;2;13;0;0;1;1;11,5
8;3;2;13;0;0;1;1;11,5
7;3;3;13;0;0;1;1;11,3333333333333
6;4;3;13;0;0;1;1;11,3333333333333
5;4;4;13;0;0;1;1;11,25
10;1;1;12;0;0;1;1;11
9;2;1;12;0;0;1;1;11
8;2;2;12;0;0;1;1;10,5
7;3;2;12;0;0;1;1;10,5
6;3;3;12;0;0;1;1;10,3333333333333
5;4;3;12;0;0;1;1;10,3333333333333
4;4;4;12;0;0;1;1;10,25
13;1;1;15;0;1;0;1;14
12;2;1;15;0;1;0;1;13,5
11;2;2;15;0;1;0;1;13,5
10;3;2;15;0;1;0;1;13,3333333333333
9;3;3;15;0;1;0;1;13,3333333333333
8;4;3;15;0;1;0;1;13,25
7;4;4;15;0;1;0;1;13,25
6;5;4;15;0;1;0;1;13,2
5;5;5;15;0;1;0;1;13,2
12;1;1;14;0;1;0;1;13
11;2;1;14;0;1;0;1;12,5
10;2;2;14;0;1;0;1;12,5
9;3;2;14;0;1;0;1;12,3333333333333
8;3;3;14;0;1;0;1;12,3333333333333
7;4;3;14;0;1;0;1;12,25
6;4;4;14;0;1;0;1;12,25
5;5;4;14;0;1;0;1;12,2
11;1;1;13;0;1;0;1;12
10;2;1;13;0;1;0;1;11,5
9;2;2;13;0;1;0;1;11,5
8;3;2;13;0;1;0;1;11,3333333333333
7;3;3;13;0;1;0;1;11,3333333333333
6;4;3;13;0;1;0;1;11,25
5;4;4;13;0;1;0;1;11,25
10;1;1;12;0;1;0;1;11
9;2;1;12;0;1;0;1;10,5
8;2;2;12;0;1;0;1;10,5
7;3;2;12;0;1;0;1;10,3333333333333
6;3;3;12;0;1;0;1;10,3333333333333
5;4;3;12;0;1;0;1;10,25
4;4;4;12;0;1;0;1;10,25
13;1;1;15;1;0;0;1;13,0769230769231
12;2;1;15;1;0;0;1;13,0833333333333
11;2;2;15;1;0;0;1;13,0909090909091
10;3;2;15;1;0;0;1;13,1
9;3;3;15;1;0;0;1;13,1111111111111
8;4;3;15;1;0;0;1;13,125
7;4;4;15;1;0;0;1;13,1428571428571
6;5;4;15;1;0;0;1;13,1666666666667
5;5;5;15;1;0;0;1;13,2
12;1;1;14;1;0;0;1;12,0833333333333
11;2;1;14;1;0;0;1;12,0909090909091
10;2;2;14;1;0;0;1;12,1
9;3;2;14;1;0;0;1;12,1111111111111
8;3;3;14;1;0;0;1;12,125
7;4;3;14;1;0;0;1;12,1428571428571
6;4;4;14;1;0;0;1;12,1666666666667
5;5;4;14;1;0;0;1;12,2
11;1;1;13;1;0;0;1;11,0909090909091
10;2;1;13;1;0;0;1;11,1
9;2;2;13;1;0;0;1;11,1111111111111
8;3;2;13;1;0;0;1;11,125
7;3;3;13;1;0;0;1;11,1428571428571
6;4;3;13;1;0;0;1;11,1666666666667
5;4;4;13;1;0;0;1;11,2
10;1;1;12;1;0;0;1;10,1
9;2;1;12;1;0;0;1;10,1111111111111
8;2;2;12;1;0;0;1;10,125
7;3;2;12;1;0;0;1;10,1428571428571
6;3;3;12;1;0;0;1;10,1666666666667
5;4;3;12;1;0;0;1;10,2
4;4;4;12;1;0;0;1;10,25
11;2;2;15;0;0;2;2;13
10;3;2;15;0;0;2;2;13
9;3;3;15;0;0;2;2;12,3333333333333
8;4;3;15;0;0;2;2;12,3333333333333
7;4;4;15;0;0;2;2;12
6;5;4;15;0;0;2;2;12
5;5;5;15;0;0;2;2;11,8
10;2;2;14;0;0;2;2;12
9;3;2;14;0;0;2;2;12
8;3;3;14;0;0;2;2;11,3333333333333
7;4;3;14;0;0;2;2;11,3333333333333
6;4;4;14;0;0;2;2;11
5;5;4;14;0;0;2;2;11
9;2;2;13;0;0;2;2;11
8;3;2;13;0;0;2;2;11
7;3;3;13;0;0;2;2;10,3333333333333
6;4;3;13;0;0;2;2;10,3333333333333
5;4;4;13;0;0;2;2;10
8;2;2;12;0;0;2;2;10
7;3;2;12;0;0;2;2;10
6;3;3;12;0;0;2;2;9,33333333333333
5;4;3;12;0;0;2;2;9,33333333333333
4;4;4;12;0;0;2;2;9
13;1;1;15;0;1;1;2;13
12;2;1;15;0;1;1;2;12,5
11;2;2;15;0;1;1;2;12
10;3;2;15;0;1;1;2;11,8333333333333
9;3;3;15;0;1;1;2;11,6666666666667
8;4;3;15;0;1;1;2;11,5833333333333
7;4;4;15;0;1;1;2;11,5
6;5;4;15;0;1;1;2;11,45
5;5;5;15;0;1;1;2;11,4
12;1;1;14;0;1;1;2;12
11;2;1;14;0;1;1;2;11,5
10;2;2;14;0;1;1;2;11
9;3;2;14;0;1;1;2;10,8333333333333
