"ZCH1_SOLL";"ZCH2_SOLL";"ZCH3_SOLL";"GESAMT_SOLL";"ZCH1_IST";"ZCH2_IST";"ZCH3_IST";"GESAMT_IST";"ZFW";"ZFW_NEW";"MIN_REL";"SD_RELgrMIN";"ZFW_V3";"ZFW_V4";"ZFW_V5"
13;1;1;15;0;0;0;0;8,84632504202305;0;0;0;0;0;0
12;2;1;15;0;0;0;0;9,44741959094125;0;0;0;0;0;0
11;3;1;15;0;0;0;0;10,0401053545372;0;0;0;0;0;0
11;2;2;15;0;0;0;0;10,0401053545372;0;0;0;0;0;0
10;4;1;15;0;0;0;0;10,6234132519035;0;0;0;0;0;0
10;3;2;15;0;0;0;0;10,6234132519035;0;0;0;0;0;0
9;5;1;15;0;0;0;0;11,1961524227066;0;0;0;0;0;0
9;4;2;15;0;0;0;0;11,1961524227066;0;0;0;0;0;0
9;3;3;15;0;0;0;0;11,1961524227066;0;0;0;0;0;0
8;6;1;15;0;0;0;0;11,7568284600109;0;0;0;0;0;0
8;5;2;15;0;0;0;0;11,7568284600109;0;0;0;0;0;0
8;4;3;15;0;0;0;0;11,7568284600109;0;0;0;0;0;0
7;7;1;15;0;0;0;0;12,3035170706589;0;0;0;0;0;0
7;6;2;15;0;0;0;0;12,3035170706589;0;0;0;0;0;0
7;5;3;15;0;0;0;0;12,3035170706589;0;0;0;0;0;0
7;4;4;15;0;0;0;0;12,3035170706589;0;0;0;0;0;0
6;6;3;15;0;0;0;0;12,8336586254776;0;0;0;0;0;0
6;5;4;15;0;0;0;0;12,8336586254776;0;0;0;0;0;0
5;5;5;15;0;0;0;0;13,3437015248821;0;0;0;0;0;0
12;1;1;14;0;0;0;0;8,44741959094125;0;0;0;0;0;0
11;2;1;14;0;0;0;0;9,04010535453724;0;0;0;0;0;0
10;3;1;14;0;0;0;0;9,62341325190349;0;0;0;0;0;0
10;2;2;14;0;0;0;0;9,62341325190349;0;0;0;0;0;0
9;4;1;14;0;0;0;0;10,1961524227066;0;0;0;0;0;0
9;3;2;14;0;0;0;0;10,1961524227066;0;0;0;0;0;0
8;5;1;14;0;0;0;0;10,7568284600109;0;0;0;0;0;0
8;4;2;14;0;0;0;0;10,7568284600109;0;0;0;0;0;0
8;3;3;14;0;0;0;0;10,7568284600109;0;0;0;0;0;0
7;6;1;14;0;0;0;0;11,3035170706589;0;0;0;0;0;0
7;5;2;14;0;0;0;0;11,3035170706589;0;0;0;0;0;0
7;4;3;14;0;0;0;0;11,3035170706589;0;0;0;0;0;0
6;6;2;14;0;0;0;0;11,8336586254776;0;0;0;0;0;0
6;5;3;14;0;0;0;0;11,8336586254776;0;0;0;0;0;0
6;4;4;14;0;0;0;0;11,8336586254776;0;0;0;0;0;0
5;5;4;14;0;0;0;0;12,3437015248821;0;0;0;0;0;0
11;1;1;13;0;0;0;0;8,04010535453724;0;0;0;0;0;0
10;2;1;13;0;0;0;0;8,62341325190349;0;0;0;0;0;0
9;3;1;13;0;0;0;0;9,19615242270663;0;0;0;0;0;0
9;2;2;13;0;0;0;0;9,19615242270663;0;0;0;0;0;0
8;4;1;13;0;0;0;0;9,75682846001088;0;0;0;0;0;0
8;3;2;13;0;0;0;0;9,75682846001088;0;0;0;0;0;0
7;5;1;13;0;0;0;0;10,3035170706589;0;0;0;0;0;0
7;4;2;13;0;0;0;0;10,3035170706589;0;0;0;0;0;0
7;3;3;13;0;0;0;0;10,3035170706589;0;0;0;0;0;0
6;6;1;13;0;0;0;0;10,8336586254776;0;0;0;0;0;0
6;5;2;13;0;0;0;0;10,8336586254776;0;0;0;0;0;0
6;4;3;13;0;0;0;0;10,8336586254776;0;0;0;0;0;0
5;5;3;13;0;0;0;0;11,3437015248821;0;0;0;0;0;0
5;4;4;13;0;0;0;0;11,3437015248821;0;0;0;0;0;0
10;1;1;12;0;0;0;0;7,62341325190349;0;0;0;0;0;0
9;2;1;12;0;0;0;0;8,19615242270663;0;0;0;0;0;0
8;3;1;12;0;0;0;0;8,75682846001088;0;0;0;0;0;0
8;2;2;12;0;0;0;0;8,75682846001088;0;0;0;0;0;0
7;4;1;12;0;0;0;0;9,30351707065885;0;0;0;0;0;0
7;3;2;12;0;0;0;0;9,30351707065885;0;0;0;0;0;0
6;5;1;12;0;0;0;0;9,83365862547764;0;0;0;0;0;0
6;4;2;12;0;0;0;0;9,83365862547764;0;0;0;0;0;0
6;3;3;12;0;0;0;0;9,83365862547764;0;0;0;0;0;0
5;5;2;12;0;0;0;0;10,3437015248821;0;0;0;0;0;0
5;4;3;12;0;0;0;0;10,3437015248821;0;0;0;0;0;0
4;4;4;12;0;0;0;0;10,8284271247462;0;0;0;0;0;0
9;1;1;11;0;0;0;0;7,19615242270663;0;0;0;0;0;0
8;2;1;11;0;0;0;0;7,75682846001088;0;0;0;0;0;0
7;3;1;11;0;0;0;0;8,30351707065885;0;0;0;0;0;0
7;2;2;11;0;0;0;0;8,30351707065885;0;0;0;0;0;0
6;4;1;11;0;0;0;0;8,83365862547764;0;0;0;0;0;0
6;3;2;11;0;0;0;0;8,83365862547764;0;0;0;0;0;0
5;5;1;11;0;0;0;0;9,34370152488211;0;0;0;0;0;0
5;4;2;11;0;0;0;0;9,34370152488211;0;0;0;0;0;0
5;3;3;11;0;0;0;0;9,34370152488211;0;0;0;0;0;0
4;4;3;11;0;0;0;0;9,82842712474619;0;0;0;0;0;0
8;1;1;10;0;0;0;0;6,75682846001088;0;0;0;0;0;0
7;2;1;10;0;0;0;0;7,30351707065885;0;0;0;0;0;0
6;3;1;10;0;0;0;0;7,83365862547763;0;0;0;0;0;0
6;2;2;10;0;0;0;0;7,83365862547763;0;0;0;0;0;0
5;4;1;10;0;0;0;0;8,34370152488211;0;0;0;0;0;0
5;3;2;10;0;0;0;0;8,34370152488211;0;0;0;0;0;0
4;4;2;10;0;0;0;0;8,82842712474619;0;0;0;0;0;0
4;3;3;10;0;0;0;0;8,82842712474619;0;0;0;0;0;0
7;1;1;9;0;0;0;0;6,30351707065885;0;0;0;0;0;0
6;2;1;9;0;0;0;0;6,83365862547763;0;0;0;0;0;0
5;3;1;9;0;0;0;0;7,34370152488211;0;0;0;0;0;0
5;2;2;9;0;0;0;0;7,34370152488211;0;0;0;0;0;0
4;4;1;9;0;0;0;0;7,82842712474619;0;0;0;0;0;0
4;3;2;9;0;0;0;0;7,82842712474619;0;0;0;0;0;0
3;3;3;9;0;0;0;0;8,27950705695478;0;0;0;0;0;0
13;1;1;15;0;0;1;1;7,84632504202305;1;0;1;99;1;98,8
12;2;1;15;0;0;1;1;8,44741959094125;1;0;1;99;1;98,8
11;3;1;15;0;0;1;1;9,04010535453724;1;0;1;99;1;98,8
11;2;2;15;0;0;1;1;8,54010535453724;1;0;0,5;99,5;1,5;99,4
10;4;1;15;0;0;1;1;9,62341325190349;1;0;1;99;1;98,8
10;3;2;15;0;0;1;1;9,12341325190349;1;0;0,5;99,5;1,5;99,4
9;5;1;15;0;0;1;1;10,1961524227066;1;0;1;99;1;98,8
9;4;2;15;0;0;1;1;9,69615242270663;1;0;0,5;99,5;1,5;99,4
9;3;3;15;0;0;1;1;9,52948575603997;1;0;0,333;99,667;1,667;99,6004
8;6;1;15;0;0;1;1;10,7568284600109;1;0;1;99;1;98,8
8;5;2;15;0;0;1;1;10,2568284600109;1;0;0,5;99,5;1,5;99,4
8;4;3;15;0;0;1;1;10,0901617933442;1;0;0,333;99,667;1,667;99,6004
7;7;1;15;0;0;1;1;11,3035170706589;1;0;1;99;1;98,8
7;6;2;15;0;0;1;1;10,8035170706589;1;0;0,5;99,5;1,5;99,4
7;5;3;15;0;0;1;1;10,6368504039922;1;0;0,333;99,667;1,667;99,6004
7;4;4;15;0;0;1;1;10,5535170706589;1;0;0,25;99,75;1,75;99,7
6;6;3;15;0;0;1;1;11,166991958811;1;0;0,333;99,667;1,667;99,6004
6;5;4;15;0;0;1;1;11,0836586254776;1;0;0,25;99,75;1,75;99,7
5;5;5;15;0;0;1;1;11,5437015248821;1;0;0,2;99,8;1,8;99,76
12;1;1;14;0;0;1;1;7,44741959094125;1;0;1;99;1;98,8
11;2;1;14;0;0;1;1;8,04010535453724;1;0;1;99;1;98,8
10;3;1;14;0;0;1;1;8,62341325190349;1;0;1;99;1;98,8
10;2;2;14;0;0;1;1;8,12341325190349;1;0;0,5;99,5;1,5;99,4
9;4;1;14;0;0;1;1;9,19615242270663;1;0;1;99;1;98,8
9;3;2;14;0;0;1;1;8,69615242270663;1;0;0,5;99,5;1,5;99,4
8;5;1;14;0;0;1;1;9,75682846001088;1;0;1;99;1;98,8
8;4;2;14;0;0;1;1;9,25682846001088;1;0;0,5;99,5;1,5;99,4
8;3;3;14;0;0;1;1;9,09016179334422;1;0;0,333;99,667;1,667;99,6004
7;6;1;14;0;0;1;1;10,3035170706589;1;0;1;99;1;98,8
7;5;2;14;0;0;1;1;9,80351707065885;1;0;0,5;99,5;1,5;99,4
7;4;3;14;0;0;1;1;9,63685040399218;1;0;0,333;99,667;1,667;99,6004
6;6;2;14;0;0;1;1;10,3336586254776;1;0;0,5;99,5;1,5;99,4
6;5;3;14;0;0;1;1;10,166991958811;1;0;0,333;99,667;1,667;99,6004
6;4;4;14;0;0;1;1;10,0836586254776;1;0;0,25;99,75;1,75;99,7
5;5;4;14;0;0;1;1;10,5937015248821;1;0;0,25;99,75;1,75;99,7
11;1;1;13;0;0;1;1;7,04010535453724;1;0;1;99;1;98,8
10;2;1;13;0;0;1;1;7,62341325190349;1;0;1;99;1;98,8
9;3;1;13;0;0;1;1;8,19615242270663;1;0;1;99;1;98,8
9;2;2;13;0;0;1;1;7,69615242270663;1;0;0,5;99,5;1,5;99,4
8;4;1;13;0;0;1;1;8,75682846001088;1;0;1;99;1;98,8
8;3;2;13;0;0;1;1;8,25682846001088;1;0;0,5;99,5;1,5;99,4
7;5;1;13;0;0;1;1;9,30351707065885;1;0;1;99;1;98,8
